,no2poly_m3_h,fe_m3_h,ts_mg_L,no2con_hz,no2conp_hz,feed_m3_h,dehydro_hz,screw_mm,no1poly_m3_h,con_pre_mpa
0,0.0,15.0,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
1,0.0,15.1,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
2,0.0,15.2,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
3,0.0,15.299999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
4,0.0,15.399999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
5,0.0,15.499999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
6,0.0,15.599999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
7,0.0,15.699999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
8,0.0,15.799999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
9,0.0,15.899999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
10,0.0,15.999999999999996,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
11,0.0,16.099999999999994,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
12,0.0,16.199999999999996,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
13,0.0,16.299999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
14,0.0,16.399999999999995,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
15,0.0,16.499999999999993,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
16,0.0,16.599999999999994,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
17,0.0,16.699999999999996,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
18,0.0,16.799999999999994,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
19,0.0,16.89999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
20,0.0,16.999999999999993,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
21,0.0,17.099999999999994,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
22,0.0,17.199999999999992,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
23,0.0,17.29999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
24,0.0,17.39999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
25,0.0,17.499999999999993,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
26,0.0,17.59999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
27,0.0,17.69999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
28,0.0,17.79999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
29,0.0,17.89999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
30,0.0,17.99999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
31,0.0,18.099999999999987,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
32,0.0,18.19999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
33,0.0,18.29999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
34,0.0,18.399999999999988,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
35,0.0,18.499999999999986,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
36,0.0,18.599999999999987,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
37,0.0,18.69999999999999,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
38,0.0,18.799999999999986,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
39,0.0,18.899999999999984,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
40,0.0,18.999999999999986,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
41,0.0,19.099999999999987,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
42,0.0,19.199999999999985,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
43,0.0,19.299999999999983,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
44,0.0,19.399999999999984,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
45,0.0,19.499999999999986,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
46,0.0,19.599999999999984,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
47,0.0,19.69999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
48,0.0,19.799999999999983,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
49,0.0,19.899999999999984,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
50,0.0,19.999999999999982,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
51,0.0,20.09999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
