,ts_g_l,feed_m3_h,thr_kgts_h,poly_per_ts,fe_per_ts,str_rpm,con_rpm,ts_rpm,plugs_rpm,pitch_mm
0,5.43,1.0,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
1,5.43,1.0354,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
2,5.43,1.0708000000000002,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
3,5.43,1.1062000000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
4,5.43,1.1416000000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
5,5.43,1.1770000000000005,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
6,5.43,1.2124000000000006,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
7,5.43,1.2478000000000007,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
8,5.43,1.2832000000000008,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
9,5.43,1.3186000000000009,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
10,5.43,1.354000000000001,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
11,5.43,1.389400000000001,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
12,5.43,1.4248000000000012,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
13,5.43,1.4602000000000013,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
14,5.43,1.4956000000000014,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
15,5.43,1.5310000000000015,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
16,5.43,1.5664000000000016,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
17,5.43,1.6018000000000017,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
18,5.43,1.6372000000000018,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
19,5.43,1.6726000000000019,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
20,5.43,1.708000000000002,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
21,5.43,1.743400000000002,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
22,5.43,1.7788000000000022,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
23,5.43,1.8142000000000023,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
24,5.43,1.8496000000000024,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
25,5.43,1.8850000000000025,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
26,5.43,1.9204000000000025,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
27,5.43,1.9558000000000026,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
28,5.43,1.9912000000000027,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
29,5.43,2.026600000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
30,5.43,2.062000000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
31,5.43,2.097400000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
32,5.43,2.132800000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
33,5.43,2.1682000000000032,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
34,5.43,2.2036000000000033,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
35,5.43,2.2390000000000034,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
36,5.43,2.2744000000000035,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
37,5.43,2.3098000000000036,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
38,5.43,2.3452000000000037,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
39,5.43,2.380600000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
40,5.43,2.416000000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
41,5.43,2.451400000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
42,5.43,2.486800000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
43,5.43,2.522200000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
44,5.43,2.5576000000000043,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
45,5.43,2.5930000000000044,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
46,5.43,2.6284000000000045,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
47,5.43,2.6638000000000046,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
48,5.43,2.6992000000000047,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
49,5.43,2.734600000000005,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
50,5.6974,1.0,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
51,5.6974,1.0354,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
52,5.6974,1.0708000000000002,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
53,5.6974,1.1062000000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
54,5.6974,1.1416000000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
55,5.6974,1.1770000000000005,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
56,5.6974,1.2124000000000006,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
57,5.6974,1.2478000000000007,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
58,5.6974,1.2832000000000008,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
59,5.6974,1.3186000000000009,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
60,5.6974,1.354000000000001,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
61,5.6974,1.389400000000001,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
62,5.6974,1.4248000000000012,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
63,5.6974,1.4602000000000013,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
64,5.6974,1.4956000000000014,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
65,5.6974,1.5310000000000015,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
66,5.6974,1.5664000000000016,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
67,5.6974,1.6018000000000017,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
68,5.6974,1.6372000000000018,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
69,5.6974,1.6726000000000019,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
70,5.6974,1.708000000000002,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
71,5.6974,1.743400000000002,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
72,5.6974,1.7788000000000022,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
73,5.6974,1.8142000000000023,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
74,5.6974,1.8496000000000024,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
75,5.6974,1.8850000000000025,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
76,5.6974,1.9204000000000025,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
77,5.6974,1.9558000000000026,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
78,5.6974,1.9912000000000027,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
79,5.6974,2.026600000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
80,5.6974,2.062000000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
81,5.6974,2.097400000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
82,5.6974,2.132800000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
83,5.6974,2.1682000000000032,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
84,5.6974,2.2036000000000033,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
85,5.6974,2.2390000000000034,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
86,5.6974,2.2744000000000035,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
87,5.6974,2.3098000000000036,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
88,5.6974,2.3452000000000037,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
89,5.6974,2.380600000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
90,5.6974,2.416000000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
91,5.6974,2.451400000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
92,5.6974,2.486800000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
93,5.6974,2.522200000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
94,5.6974,2.5576000000000043,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
95,5.6974,2.5930000000000044,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
96,5.6974,2.6284000000000045,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
97,5.6974,2.6638000000000046,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
98,5.6974,2.6992000000000047,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
99,5.6974,2.734600000000005,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
100,5.9648,1.0,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
101,5.9648,1.0354,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
102,5.9648,1.0708000000000002,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
103,5.9648,1.1062000000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
104,5.9648,1.1416000000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
105,5.9648,1.1770000000000005,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
106,5.9648,1.2124000000000006,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
107,5.9648,1.2478000000000007,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
108,5.9648,1.2832000000000008,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
109,5.9648,1.3186000000000009,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
110,5.9648,1.354000000000001,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
111,5.9648,1.389400000000001,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
112,5.9648,1.4248000000000012,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
113,5.9648,1.4602000000000013,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
114,5.9648,1.4956000000000014,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
115,5.9648,1.5310000000000015,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
116,5.9648,1.5664000000000016,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
117,5.9648,1.6018000000000017,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
118,5.9648,1.6372000000000018,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
119,5.9648,1.6726000000000019,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
120,5.9648,1.708000000000002,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
121,5.9648,1.743400000000002,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
122,5.9648,1.7788000000000022,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
123,5.9648,1.8142000000000023,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
124,5.9648,1.8496000000000024,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
125,5.9648,1.8850000000000025,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
126,5.9648,1.9204000000000025,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
127,5.9648,1.9558000000000026,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
128,5.9648,1.9912000000000027,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
129,5.9648,2.026600000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
130,5.9648,2.062000000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
131,5.9648,2.097400000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
132,5.9648,2.132800000000003,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
133,5.9648,2.1682000000000032,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
134,5.9648,2.2036000000000033,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
135,5.9648,2.2390000000000034,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
136,5.9648,2.2744000000000035,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
137,5.9648,2.3098000000000036,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
138,5.9648,2.3452000000000037,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
139,5.9648,2.380600000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
140,5.9648,2.416000000000004,11.0,1.49,0.0,48.0,8.0,0.6000000000000001,0.13,240.0
